CODIGO,DESCRICAO_CID
M844,Fratura patológica não classificada em outra parte
M860,Osteomielite aguda hematogênica
M861,Outra osteomielite aguda
M864,Osteomielite crônica com seio drenante
M866,Outra osteomielite crônica
M869,Osteomielite não especificada
M879,Osteonecrose não especificada
M898,Outros transtornos especificados do osso
M938,"Outras osteocondropatias, especificadas"
M949,Transtornos não especificados da cartilagem
M950,Deformidade adquirida do nariz
M958,Outras deformidades adquiridas especificadas do sistema osteomuscular
M966,"Fratura de osso subsequente a implante ortopédico, prótese articular ou placa óssea"
M968,Outros transtornos osteomusculares pós-procedimentos
M995,Estenose de disco intervertebral do canal medular
M999,Lesão biomecânica não especificada
N000,Síndrome nefrítica aguda - anormalidade glomerular minor
N040,Síndrome nefrótica - anormalidade glomerular minor
N041,Síndrome nefrótica - lesões glomerulares focais e segmentares
N048,Síndrome nefrótica - outras
N049,Síndrome nefrótica - não especificada
N085,Transtornos glomerulares em doenças sistêmicas do tecido conjuntivo
N10,Nefrite túbulo-intersticial aguda
N110,Pielonefrite não-obstrutiva crônica associada a refluxo
N111,Pielonefrite obstrutiva crônica
N119,Nefrite túbulo-intersticial crônica não especificada
N12,Nefrite túbulo-intersticial não especificada se aguda ou crônica
N130,Hidronefrose com obstrução da junção uretero-pélvica
N131,Hidronefrose com estreitamento de ureter não classificada em outra parte
N132,Hidronefrose com obstrução por calculose renal e ureteral
N133,Outras hidronefroses e as não especificadas
N136,Pionefrose
N138,Outras uropatias obstrutivas e por refluxo
N151,Abscesso renal e perinefrético
N164,Transtornos renais túbulo-intersticiais em doenças do tecido conjuntivo
N165,Transtornos renais túbulo-intersticiais em rejeição a transplantes
N170,Insuficiência renal aguda com necrose tubular
N178,Outro tipo de insuficiência renal aguda
N179,Insuficiência renal aguda não especificada
N180,Doença renal em estádio final
N188,Outra insuficiência renal crônica
N189,Insuficiência renal crônica não especificada
N200,Calculose do rim
N201,Calculose do ureter
N202,Calculose do rim com cálculo do ureter
N209,"Calculose urinária, não especificada"
N210,Calculose na bexiga
N211,Cálculo uretral
N218,Outros cálculos do trato urinário inferior
N219,"Cálculo do trato urinário inferior, porção não especificada"
N220,Cálculo urinário na esquistossomose [bilharziose] [schistosomíase]
N23,Cólica nefrética não especificada
N288,Outros transtornos especificados do rim e do ureter
N300,Cistite aguda
N302,Outras cistites crônicas
N309,"Cistite, não especificada"
N310,Bexiga neuropática não-inibida não classificada em outra parte
N318,Outra disfunção neuromuscular da bexiga
N319,Disfunção neuromuscular não especificada da bexiga
N328,Outros transtornos especificados da bexiga
N329,Transtorno não especificado da bexiga
N350,Estenose uretral pós-traumática
N358,Outra estenose (estreitamento) uretral
N359,Estenose (estreitamento) uretral não especificada(o)
N369,Transtorno não especificado da uretra
N370,Uretrite em doenças classificadas em outra parte
N390,Infecção do trato urinário de localização não especificada
N394,Outras incontinências urinárias especificadas
N398,Outros transtornos especificados do aparelho urinário
N399,Transtornos não especificados do aparelho urinário
N40,Hiperplasia da próstata
N428,Outras afecções especificadas da próstata
N429,Afecção não especificada da próstata
N430,Hidrocele encistada
N432,Outra hidrocele
N433,Hidrocele não especificada
N44,Torção do testículo
N450,"Orquite, epididimite e epidídimo-orquite, com menção de abscesso"
N459,"Orquite, epididimite e epidídimo-orquite, sem menção de abscesso"
N46,Infertilidade masculina
N47,"Hipertrofia do prepúcio, fimose e parafimose"
N483,Priapismo
N484,Impotência de origem orgânica
N488,Outros transtornos especificados do pênis
N508,Outros transtornos especificados dos órgãos genitais masculinos
N61,Transtornos inflamatórios da mama
N62,Hipertrofia da mama
N63,Nódulo mamário não especificado
N648,Outros transtornos especificados da mama
N649,Transtorno da mama não especificado
N700,Salpingite e ooforite agudas
N709,Salpingite e ooforite não especificadas
N736,Aderências pelviperitonais femininas
N738,Outras doenças inflamatórias especificadas da pelve feminina
N739,Doença inflamatória não especificada da pelve feminina
N750,Cisto da glândula de Bartholin
N751,Abscesso da glândula de Bartholin
N758,Outras doenças da glândula de Bartholin
N759,Doença não especificada da glândula de Bartholin
N768,Outras inflamações especificadas da vagina e da vulva
N800,Endometriose do útero
N801,Endometriose do ovário
N805,Endometriose do intestino
N808,Outra endometriose
N809,Endometriose não especificada
N810,Uretrocele feminina
N811,Cistocele
N812,Prolapso uterovaginal incompleto
N813,Prolapso uterovaginal completo
N814,Prolapso uterovaginal não especificado
N816,Retocele
N818,Outro prolapso genital feminino
N819,Prolapso genital feminino não especificado
N820,Fístula vesicovaginal
N832,Outros cistos ovarianos e os não especificados
N836,Hematossalpinge
N838,"Outros transtornos não-inflamatórios do ovário, da trompa de Falópio e do ligamento largo"
N839,"Transtornos não-inflamatórios do ovário, da trompa de Falópio e do ligamento largo, não especificados"
N840,Pólipo do corpo do útero
N841,Pólipo do colo do útero
N848,Pólipo de outras partes do trato genital feminino
N849,Pólipo do trato genital feminino não especificado
N850,Hiperplasia glandular endometrial
N851,Hiperplasia adenomatosa endometrial
N852,Hipertrofia do útero
N858,Outros transtornos não-inflamatórios especificados do útero
N859,"Transtornos não-inflamatórios do útero, não especificados"
N870,Displasia cervical leve
N871,Displasia cervical moderada
N872,"Displasia cervical grave, não classificada em outra parte"
N879,"Displasia do colo do útero, não especificada"
N883,Incompetência do colo do útero
N888,Outros transtornos não-inflamatórios especificados do colo do útero
N905,Atrofia da vulva
N906,Hipertrofia da vulva
N907,Cisto vulvar
N908,Outros transtornos não-inflamatórios especificados da vulva e do períneo
N920,Menstruação excessiva e freqüente com ciclo regular
N921,Menstruação excessiva e freqüente com ciclo irregular
N926,"Menstruação irregular, não especificada"
N938,Outros sangramentos anormais especificados do útero e da vagina
N939,"Sangramento anormal do útero ou da vagina, não especificado"
N949,Afecções não especificadas associadas com os órgãos genitais femininos e com o ciclo menstrual
N950,Sangramento pós-menopausa
N979,Infertilidade feminina não especificada
O000,Gravidez abdominal
O001,Gravidez tubária
O008,Outras formas de gravidez ectópica
O009,"Gravidez ectópica, não especificada"
O010,Mola hidatiforme clássica
O019,Mola hidatiforme não especificada
O021,Aborto retido
O031,"Aborto espontâneo - incompleto, complicado por hemorragia excessiva ou tardia"
O033,"Aborto espontâneo - incompleto, com outras complicações ou com complicações não especificadas"
O034,"Aborto espontâneo - incompleto, sem complicações"
O039,"Aborto espontâneo - completo ou não especificado, sem complicações"
O048,"Aborto por razões médicas e legais - completo ou não especificado, com outras complicações ou com complicações não especificadas"
O049,"Aborto por razões médicas e legais - completo ou não especificado, sem complicações"
O053,"Outros tipos de aborto - incompleto, com outras complicações ou com complicações não especificadas"
O054,"Outros tipos de aborto - incompleto, sem complicações"
O060,"Aborto não especificado - incompleto, complicado por infecção do trato genital ou dos órgãos pélvicos"
O064,"Aborto não especificado - incompleto, sem complicações"
O068,"Aborto não especificado - completo ou não especificado, com outras complicações ou com complicações não especificadas"
O069,"Aborto não especificado - completo ou não especificado, sem complicações"
O100,"Hipertensão essencial pré-existente complicando a gravidez, o parto e o puerpério"
O101,"Doença cardíaca hipertensiva pré-existente complicando a gravidez, o parto e o puerpério"
O104,"Hipertensão secundária pré-existente complicando a gravidez, o parto e o puerpério"
O109,"Hipertensão pré-existente não especificada, complicando a gravidez, o parto e o puerpério"
O11,Distúrbio hipertensivo pré-existente com proteinúria superposta
O13,Hipertensão gestacional [induzida pela gravidez] sem proteinúria significativa
O140,Pré-eclâmpsia moderada
O141,Pré-eclâmpsia grave
O149,Pré-eclâmpsia não especificada
O150,Eclâmpsia na gravidez
O159,Eclâmpsia não especificada quanto ao período
O16,Hipertensão materna não especificada
O200,Ameaça de aborto
O208,Outras hemorragias do início da gravidez
O209,"Hemorragia do início da gravidez, não especificada"
O210,Hiperêmese gravídica leve
O211,Hiperêmese gravídica com distúrbio metabólico
O219,"Vômitos da gravidez, não especificados"
O230,Infecções do rim na gravidez
O231,Infecções da bexiga na gravidez
O233,Infecções de outras partes do trato urinário na gravidez
O234,Infecção não especificada do trato urinário na gravidez
O235,Infecções do trato genital na gravidez
O239,Outras infecções e as não especificadas do trato urinário na gravidez
O240,"Diabetes mellitus pré-existente, insulino-dependente"
O241,"Diabetes mellitus pré-existente, não-insulino-dependente"
O243,"Diabetes mellitus pré-existente, não especificado"
O244,Diabetes mellitus que surge durante a gravidez
O249,"Diabetes mellitus na gravidez, não especificado"
O268,"Outras afecções especificadas, ligadas a gravidez"
O269,"Afecções ligadas a gravidez, não especificadas"
O300,Gravidez dupla
O309,"Gestação múltipla, não especificada"
O320,Assistência prestada à mãe por posição fetal instável
O321,Assistência prestada à mãe por apresentação pélvica
O322,Assistência prestada à mãe por posição fetal transversa e oblíqua
O324,Assistência prestada à mãe por polo cefálico alto em gestação a termo
O328,Assistência prestada à mãe por outras formas de apresentação anormal do feto
O330,Assistência prestada à mãe por uma desproporção devida à deformidade da pelve óssea materna
O334,"Assistência prestada à mãe por uma desproporção de origem mista, materna e fetal"
O335,Assistência prestada à mãe por uma desproporção devida a feto excepcionalmente grande
O338,Assistência prestada à mãe por uma desproporção de outra origem
O339,"Assistência prestada à mãe por uma desproporção, não especificada"
O342,Assistência prestada à mãe por cicatriz uterina devida a uma cirurgia anterior
O343,Assistência prestada à mãe por incompetência cervical
O344,Assistência prestada à mãe por outras anormalidades do colo do útero
O359,"Assistência prestada à mãe por lesão ou anormalidade fetais (suspeitadas), não especificadas"
O360,Assistência prestada à mãe por isoimunização Rh
O363,Assistência prestada à mãe por sinais de hipóxia fetal
O364,Assistência prestada à mãe por morte intra-uterina
O365,Assistência prestada à mãe por insuficiência de crescimento fetal
O366,Assistência prestada à mãe por crescimento fetal excessivo
O368,Assistência prestada à mãe por outros problemas fetais especificados
O369,Assistência prestada à mãe por problema fetal não especificado
O410,Oligohidrâmnio
O418,Outros transtornos especificados do líquido amniótico e das membranas
O419,Transtornos do líquido amniótico e das membranas não especificados
O420,"Ruptura prematura de membranas, com início do trabalho de parto dentro de 24 horas"
O421,"Ruptura prematura de membranas, com início do trabalho de parto depois das primeiras 24 horas"
O422,"Ruptura prematura de membranas, com trabalho de parto retardado por terapêutica"
O429,"Ruptura prematura de membranas, não especificada"
O430,Síndromes de transfusão placentária
O441,Placenta prévia com hemorragia
O458,Outro descolamento prematuro da placenta
O459,"Descolamento prematuro da placenta, não especificado"
O470,Falso trabalho de parto antes de se completarem 37 semanas de gestação
O471,Falso trabalho de parto na 37ª semana completa ou depois dela
O479,"Falso trabalho de parto, não especificado"
O48,Gravidez prolongada
O600,Trabalho de parto pré-termo sem parto
O601,Trabalho de parto pré-termo com parto pré-termo
O602,Trabalho de parto pré-termo com parto a termo
O610,Falha na indução médica do trabalho de parto
O618,Outras formas de falha na indução do trabalho de parto
O619,"Falha na indução do trabalho de parto, não especificada"
O620,Contrações iniciais inadequadas
O621,Inércia uterina secundária
O622,Outras formas de inércia uterina
O623,Trabalho de parto precipitado
O624,"Contrações uterinas hipertônicas, incoordenadas ou prolongadas"
O628,Outras anormalidades da contração uterina
O629,"Anormalidades da contração uterina, não especificadas"
O630,Prolongamento do primeiro período (dilatação)
O631,Prolongamento do segundo período (expulsão)
O639,"Trabalho de parto prolongado, não especificado"
O640,Obstrução do trabalho de parto devida à rotação incompleta do polo cefálico fetal
O641,Obstrução do trabalho de parto devida à apresentação pélvica
O649,"Obstrução do trabalho de parto devida a má-posição ou má-apresentação, não especificadas"
O654,"Obstrução do trabalho de parto devida a desproporção feto-pélvica, não especificada"
O658,Obstrução do trabalho de parto devida a outras anormalidades pélvicas maternas
O659,Obstrução do trabalho de parto devida a anormalidades pélvicas maternas não especificadas
O660,Obstrução do trabalho de parto devido a distócia de ombro
O662,Obstrução do trabalho de parto por feto excepcionalmente grande
O664,"Falha de tentativa de trabalho de parto, não especificada"
O668,"Outras formas de obstrução do trabalho de parto, especificadas"
O669,"Obstrução do trabalho de parto, não especificado"
O680,Trabalho de parto e parto complicados por anormalidade da freqüência cardíaca fetal
O681,Trabalho de parto e parto complicados por mecônio no líquido amniótico
O682,Trabalho de parto e parto complicados por anormalidade na freqüência cardíaca fetal com mecônio no líquido amniótico
O688,Trabalho de parto e parto complicados por outras evidências de sofrimento fetal
O689,"Trabalho de parto e parto complicados por sofrimento fetal, não especificado"
O691,"Trabalho de parto e parto complicados por circular de cordão, com compressão"
O700,Laceração de períneo de primeiro grau durante o parto
O701,Laceração de períneo de segundo grau durante o parto
O702,Laceração de períneo de terceiro grau durante o parto
O709,"Laceração de períneo durante o parto, não especificada"
O710,Ruptura do útero antes do início do trabalho de parto
O711,Ruptura do útero durante o trabalho de parto
O715,Outras lesões obstétricas aos órgãos pélvicos
O721,Outras hemorragias do pós-parto imediato
O730,Retenção da placenta sem hemorragia
O731,"Retenção de partes da placenta ou das membranas, sem hemorragia"
O750,Sofrimento materno durante o trabalho de parto e o parto
O754,Outras complicações de procedimentos ou de cirurgia obstétrica
O756,Demora do parto após ruptura espontânea ou não especificada das membranas
O759,"Complicações do trabalho de parto e do parto, não especificadas"
O800,Parto espontâneo cefálico
O801,Parto espontâneo pélvico
O808,Outros tipos de parto único espontâneo
O809,"Parto único espontâneo, não especificado"
O810,Parto por fórceps baixo
O812,Fórceps da cavidade mediana com rotação
O813,Outros tipos de parto por fórceps e os não especificados
O814,Parto por vácuo-extrator
O820,Parto por cesariana eletiva
O821,Parto por cesariana de emergência
O828,Outros tipos de parto único por cesariana
O829,"Parto por cesariana, não especificada"
O833,Parto de gravidez intra-abdominal com feto viável
O842,"Parto múltiplo, todos por cesariana"
O85,Infecção puerperal
O860,Infecção da incisão cirúrgica de origem obstétrica
O908,"Outras complicações do puerpério, não classificadas em outra parte"
O909,Complicação do puerpério não especificada
O981,"Sífilis complicando a gravidez, o parto e o puerpério"
O990,"Anemia complicando a gravidez, o parto e o puerpério"
O991,"Outras doenças do sangue e dos órgãos hematopoéticos e alguns transtornos que comprometem o sistema imunológico, complicando a gravidez, o parto e o puerpério"
O992,"Doenças endócrinas, nutricionais e metabólicas complicando a gravidez, o parto e o puerpério"
O993,"Transtornos mentais e doenças do sistema nervoso complicando a gravidez, o parto e o puerpério"
O994,"Doenças do aparelho circulatório complicando a gravidez, o parto e o puerpério"
O996,"Doenças do aparelho digestivo complicando a gravidez, o parto e o puerpério"
O998,"Outras doenças e afecções especificadas complicando a gravidez, o parto e o puerpério"
P000,Feto e recém-nascido afetados por transtornos maternos hipertensivos
P002,Feto e recém-nascido afetados por doenças infecciosas e parasitárias da mãe
P008,Feto e recém-nascido afetados por outras afecções maternas
P009,Feto e recém-nascido afetados por afecção materna não especificada
P030,Feto e recém-nascido afetados por parto e extração pélvicas
P039,Feto e recém-nascido afetados por complicações não especificadas do trabalho de parto e do parto
P050,Recém-nascido de baixo peso para a idade gestacional
P051,Pequeno para a idade gestacional
P070,Recém-nascido com peso muito baixo
P071,Outros recém-nascidos de peso baixo
P072,Imaturidade extrema
P073,Outros recém-nascidos de pré-termo
P080,Recém-nascido de tamanho excessivamente grande
P081,Outros recém-nascidos grandes para a idade gestacional
P134,Fratura da clavícula devida a traumatismo de parto
P200,Hipóxia intra-uterina diagnosticada antes do início do trabalho de parto
P210,Asfixia grave ao nascer
P211,Asfixia leve ou moderada ao nascer
P219,"Asfixia ao nascer, não especificada"
P220,Síndrome da angústia respiratória do recém-nascido
P221,Taquipnéia transitória do recém-nascido
P228,Outros desconfortos respiratórios do recém-nascido
P229,Desconforto respiratório não especificado do recém-nascido
P285,Insuficiência respiratória do recém-nascido
P289,"Afecção respiratória do recém-nascido, não especificada"
P298,Outros transtornos cardiovasculares originados no período perinatal
P299,Transtornos cardiovasculares não especificados originados no período perinatal
P350,Síndrome da rubéola congênita
P351,Infecção congênita por citomegalovirus
P358,Outras doenças virais congênitas
P359,Doença viral congênita não especificada
P361,Septicemia do recém-nascido devida a outros estreptococos e aos não especificados
P368,Outras septicemias bacterianas do recém-nascido
P369,Septicemia bacteriana não especificada do recém-nascido
P371,Toxoplasmose congênita
P378,Outras doenças infecciosas e parasitárias congênitas especificadas
P392,Infecção intra-amniótica do feto não classificada em outra parte
P398,Outras infecções especificadas próprias do período perinatal
P399,Infecção própria do período perinatal não especificada
P551,Isoimunização ABO do feto e do recém-nascido
P559,Doença hemolítica não especificada do feto e do recém-nascido
P588,Icterícia neonatal devida a outras hemólises excessivas especificadas
P589,Icterícia neonatal devida a hemólise excessiva não especificada
P590,Icterícia neonatal associada ao parto prematuro
P598,Icterícia neonatal devida a outras causas especificadas
P599,Icterícia neonatal não especificada
P700,Síndrome do filho de mãe com diabetes gestacional
P701,Síndrome do filho de mãe diabética
P704,Outras hipoglicemias neonatais
P749,Distúrbio metabólico transitório não especificado do recém-nascido
P920,Vômitos no recém-nascido
P922,Alimentação vagarosa do recém-nascido
P925,Dificuldade neonatal na amamentação no peito
P928,Outros problemas de alimentação do recém-nascido
P95,Morte fetal de causa não especificada
P968,Outras afecções especificadas originadas no período perinatal
P969,Afecções originadas no período perinatal não especificadas
Q038,Outra hidrocefalia congênita
Q059,Espinha bífida não especificada
Q103,Outras malformações congênitas das pálpebras
Q120,Catarata congênita
Q150,Glaucoma congênito
Q170,Pavilhão supranumerário
Q173,Outras deformidades da orelha
Q175,Orelhas proeminentes
Q178,Outras malformações congênitas especificadas da orelha
Q180,"Seio, fístula e cisto de origem branquial"
Q181,"Seio, fístula e cisto pré-auricular"
Q200,Tronco arterial comum
Q201,Ventrículo direito com dupla via de saída
Q204,Ventrículo com dupla via de entrada
Q210,Comunicação interventricular
Q211,Comunicação interatrial
Q212,Comunicação atrioventricular
Q213,Tetralogia de Fallot
Q219,Malformação congênita não especificada de septo cardíaco
Q220,Atresia da valva pulmonar
Q221,Estenose congênita da valva pulmonar
Q224,Estenose congênita da valva tricúspide
Q225,Anomalia de Ebstein
Q228,Outras malformações congênitas da valva tricúspide
Q230,Estenose congênita da valva aórtica
Q233,Insuficiência mitral congênita
Q234,Síndrome do coração esquerdo hipoplásico
Q249,Malformação não especificada do coração
Q250,Permeabilidade do canal arterial
Q251,Coartação da aorta
Q254,Outras malformações congênitas da aorta
Q255,Atresia da artéria pulmonar
Q256,Estenose da artéria pulmonar
Q257,Outras malformações congênitas da artéria pulmonar
Q258,Outras malformações congênitas das grandes artérias
Q259,Malformação congênita não especificada das grandes artérias
Q280,Malformação arteriovenosa de vasos pré-cerebrais
Q282,Malformação arteriovenosa dos vasos cerebrais
Q289,Malformação congênita não especificada do aparelho circulatório
Q308,Outras malformações congênitas do nariz
Q309,Malformação congênita não especificada do nariz
Q353,Fenda do palato mole
Q355,Fenda do palato duro com fenda do palato mole
Q359,Fenda palatina não especificada
Q360,Fenda labial bilateral
Q369,Fenda labial unilateral
Q370,Fenda do palato duro com fenda labial bilateral
Q371,Fenda do palato duro com fenda labial unilateral
Q374,Fenda dos palatos duro e mole com fenda labial bilateral
Q375,Fenda dos palatos duro e mole com fenda labial unilateral
Q378,"Fenda do palato com fenda labial bilateral, não especificada"
Q379,"Fenda do palato com fenda labial unilateral, não especificada"
Q381,Anquiloglossia
Q385,Malformações congênitas do palato não classificadas em outra parte
Q390,"Atresia de esôfago, sem fístula"
Q391,"Atresia de esôfago, com fístula traqueoesofágica"
Q431,Doença de Hirschsprung
Q442,Atresia das vias biliares
Q525,Fusão dos lábios vulvares
Q530,Testículo ectópico
Q531,"Testículo não-descido, unilateral"
Q532,"Testículo não-descido, bilateral"
Q539,"Testículo não-descido, não especificado"
Q540,Hipospádia balânica
Q549,Hipospádia não especificada
Q556,Outras malformações congênitas do pênis
Q623,Outras anomalias obstrutivas da pelve renal e do ureter
Q641,Extrofia vesical
Q650,Luxação congênita unilateral do quadril
Q660,Pé torto eqüinovaro
Q668,Outras deformidades congênitas do pé
Q669,Deformidade congênita não especificada do pé
Q670,Assimetria facial
Q676,Tórax escavado
Q688,Outras deformidades osteomusculares congênitas
Q690,Dedo(s) da mão supranumerário(s)
Q699,Polidactilia não especificada
Q748,Outras malformações congênitas especificadas de membro(s)
Q749,Malformações congênitas não especificadas de membro(s)
Q750,Craniossinostose
Q758,Outras malformações congênitas especificadas dos ossos do crânio e da face
Q759,Malformação congênita não especificada dos ossos do crânio e da face
Q780,Osteogênese imperfeita
Q790,Hérnia diafragmática congênita
Q831,Mama supranumerária
Q833,Mamilo acessório
Q870,Síndromes com malformações congênitas afetando predominantemente o aspecto da face
Q892,Malformações congênitas de outras glândulas endócrinas
Q899,Malformações congênitas não especificadas
R001,Bradicardia não especificada
R011,"Sopro cardíaco, não especificado"
R02,Gangrena não classificada em outra parte
R040,Epistaxis
R042,Hemoptise
R05,Tosse
R060,Dispnéia
R072,Dor precordial
R073,Outra dor torácica
R074,"Dor torácica, não especificada"
R100,Abdome agudo
R101,Dor localizada no abdome superior
R102,Dor pélvica e perineal
R103,Dor localizada em outras partes do abdome inferior
R104,Outras dores abdominais e as não especificadas
R11,Náusea e vômitos
R13,Disfagia
R17,Icterícia não especificada
R18,Ascite
R190,"Massa, tumoração ou tumefação intra-abdominal e pélvica"
R194,Alteração do hábito intestinal
R220,"Tumefação, massa ou tumoração localizadas da cabeça"
R223,"Tumefação, massa ou tumoração localizadas de membro superior"
R224,"Tumefação, massa ou tumoração localizadas no membro inferior"
R229,"Tumefação, massa ou tumoração não especificadas, localizadas"
R262,Dificuldade para andar não classificada em outra parte
R300,Disúria
R31,Hematúria não especificada
R32,Incontinência urinária não especificada
R33,Retenção urinária
R398,Outros sintomas e sinais relativos ao aparelho urinário e os não especificados
R410,Desorientação não especificada
R418,Outros sintomas e sinais especificados relativos às funções cognitivas e à consciência
R509,Febre não especificada
R51,Cefaléia
R520,Dor aguda
R521,Dor crônica intratável
R522,Outra dor crônica
R529,Dor não especificada
R53,"Mal estar, fadiga"
R55,Síncope e colapso
R560,Convulsões febris
R568,Outras convulsões e as não especificadas
R570,Choque cardiogênico
R571,Choque hipovolêmico
R579,Choque não especificado
R599,"Adenomegalia ou aumento de volume dos gânglios linfáticos, não especificado"
R610,Hiperidrose localizada
R634,Perda de peso anormal
R64,Caquexia
R688,Outros sintomas e sinais gerais especificados
R69,Causas desconhecidas e não especificadas de morbidade
R832,"Achados anormais no líquido cefalorraquidiano - nível anormal de outras drogas, medicamentos e substâncias biológicas"
R892,"Achados anormais de material proveniente de outros órgãos, aparelhos, sistemas e tecidos - nível anormal de outras drogas, medicamentos e substâncias biológicas"
R900,Lesão intracraniana ocupando espaço
R908,Outros resultados anormais de exames para diagnóstico por imagem do sistema nervoso central
R91,"Achados anormais, de exames para diagnóstico por imagem, do pulmão"
R99,Outras causas mal definidas e as não especificadas de mortalidade
S009,"Traumatismo superficial da cabeça, parte não especificada"
S011,Ferimento da pálpebra e da região periocular
S013,Ferimento do ouvido
S015,Ferimento do lábio e da cavidade oral
S018,"Ferimento na cabeça, de outras localizações"
S021,Fratura da base do crânio
S022,Fratura dos ossos nasais
S023,Fratura do assoalho orbital
S024,Fratura dos ossos malares e maxilares
S026,Fratura de mandíbula
S027,Fraturas múltiplas envolvendo os ossos do crânio e da face
S028,Outras fraturas do crânio e dos ossos da face
S029,"Fratura do crânio ou dos ossos da face, parte não especificada"
S052,Laceração e ruptura ocular com prolapso ou perda de tecido intra-ocular
S056,Ferimento penetrante do globo ocular sem corpo estranho
S059,"Traumatismo do olho e da órbita, não especificado"
S060,Concussão cerebral
S061,Edema cerebral traumático
S062,Traumatismo cerebral difuso
S063,Traumatismo cerebral focal
S064,Hemorragia epidural
S065,Hemorragia subdural devida a traumatismo
S066,Hemorragia subaracnóide devida a traumatismo
S068,Outros traumatismos intracranianos
S069,"Traumatismo intracraniano, não especificado"
S098,Outros traumatismos especificados da cabeça
S099,Traumatismo não especificado da cabeça
S122,Fratura de outras vértebras cervicais especificadas
S143,Traumatismo do plexo braquial
S220,Fratura de vértebra torácica
S221,Fraturas múltiplas da coluna torácica
S270,Pneumotórax traumático
S271,Hemotórax traumático
S272,Hemopneumotórax traumático
S315,Ferimento de outros órgãos genitais externos e os não especificados
S320,Fratura de vértebra lombar
S324,Fratura do acetábulo
S327,Fraturas múltiplas de coluna lombar e da pelve
S328,Fratura de outras partes da coluna lombossacra e da pelve e de partes não especificadas
S334,Ruptura traumática da sínfise púbica
S360,Traumatismo do baço
S364,Traumatismo do intestino delgado
S420,Fratura da clavícula
S422,Fratura da extremidade superior do úmero
S423,Fratura da diáfise do úmero
S424,Fratura da extremidade inferior do úmero
S427,"Fraturas múltiplas da clavícula, da omoplata [escápula] e do úmero"
S429,"Fratura da cintura escapular, parte não especificada"
S430,Luxação da articulação do ombro
S431,Luxação da articulação acromioclavicular
S460,Traumatismo do tendão do manguito rotador do ombro
S520,Fratura da extremidade superior do cúbito [ulna]
S521,Fratura da extremidade superior do rádio
S522,Fratura da diáfise do cúbito [ulna]
S523,Fratura da diáfise do rádio
S524,Fratura das diáfises do rádio e do cúbito [ulna]
S525,Fratura da extremidade distal do rádio
S526,Fratura da extremidade distal do rádio e do cúbito [ulna]
S527,Fraturas múltiplas do antebraço
S528,Fratura de outras partes do antebraço
S529,"Fratura do antebraço, parte não especificada"
S531,"Luxação do cotovelo, não especificada"
S602,Contusão de outras partes do punho e da mão
S611,Ferimento de dedo(s) com lesão da unha
S620,Fratura do osso navicular [escafoíde] da mão
S622,Fratura do primeiro metacarpiano
S623,Fratura de outros ossos do metacarpo
S624,Fraturas múltiplas de ossos metacarpianos
S625,Fratura do polegar
S626,Fratura de outros dedos
S627,Fraturas múltiplas de dedo(s)
S628,Fratura de outras partes e de partes não especificadas do punho e da mão
S633,Ruptura traumática de ligamento(s) do punho e do carpo
S661,Traumatismo do músculo flexor e tendão de outro dedo ao nível do punho e da mão
S663,Traumatismo do músculo extensor e tendão de outro dedo ao nível do punho e da mão
S668,Traumatismo de outros músculos e tendões ao nível do punho e da mão
S669,Traumatismo de músculo e tendão não especificado ao nível do punho e da mão
S680,Amputação traumática do polegar (completa) (parcial)
S681,Amputação traumática de um outro dedo apenas (completa) (parcial)
S718,Ferimentos de outras partes e das não especificadas da cintura pélvica
S720,Fratura do colo do fêmur
S721,Fratura pertrocantérica
S722,Fratura subtrocantérica
S723,Fratura da diáfise do fêmur
S724,Fratura da extremidade distal do fêmur
S727,Fraturas múltiplas do fêmur
S728,Fraturas de outras partes do fêmur
S729,"Fratura do fêmur, parte não especificada"
S730,Luxação da articulação do quadril
S810,Ferimento do joelho
S818,Ferimento de outras partes da perna
S820,Fratura da rótula [patela]
S821,Fratura da extremidade proximal da tíbia
S822,Fratura da diáfise da tíbia
S823,Fratura da extremidade distal da tíbia
S824,Fratura do perônio [fíbula]
S825,Fratura do maléolo medial
S826,Fratura do maléolo lateral
S827,Fraturas múltiplas da perna
S828,Fratura de outras partes da perna
S829,"Fratura da perna, parte não especificada"
S832,"Ruptura do menisco, atual"
S834,Entorse e distensão envolvendo ligamento colateral (peronial) (tibial) do joelho
S835,Entorse e distensão envolvendo ligamento cruzado (anterior) (posterior) do joelho
S836,Entorse e distensão de outras partes e das não especificadas do joelho
S837,Traumatismo de estruturas múltiplas do joelho
S860,Traumatismo do tendão de Aquiles
S910,Ferimento do tornozelo
S913,Ferimento de outras partes do pé
S920,Fratura do calcâneo
S923,Fratura de ossos do metatarso
S924,Fratura do hálux
S929,Fratura do pé não especificada
S930,Luxação da articulação do tornozelo
T009,Traumatismos superficiais múltiplos não especificados
T010,Ferimentos envolvendo a cabeça com o pescoço
T012,Ferimentos envolvendo regiões múltiplas do(s) membro(s) superior(es)
T013,Ferimentos envolvendo múltiplas regiões do(s) membro(s) inferior(es)
T019,Ferimentos múltiplos não especificados
T020,Fraturas envolvendo cabeça com pescoço
T021,Fraturas envolvendo tórax com parte inferior do dorso e da pelve
T022,Fraturas envolvendo regiões múltiplas de um membro superior
T023,Fraturas envolvendo regiões múltiplas de um membro inferior
